NumberOfBHK,Price,Transaction,BuiltUpArea,Availability,PostedDate,PostedBy,ReraApproved,AreaName
3,1.21 Crore,New Property,1321 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
4+,4.18 Crore,New Property,4250 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Jakkur, Bangalore"
3,1.50 Crore,New Property,1710 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
3,1.36 Crore,New Property,1340 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Sarjapur Road, Bangalore"
2,67 Lakhs,New Property,841 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Samethanahalli, Bangalore"
2,77 Lakhs,New Property,1326 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,Yes," Gopasandra, Bangalore"
2,1.15 Crore,New Property,1390 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Whitefield, Bangalore"
4,1.05 Crore,Resale,2200 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Doddaballapur, Bangalore"
3,1.15 Crore,Resale,1686 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Varthur, Bangalore"
3,42 Lakhs,Resale,1075 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Doddaballapur Road, Bangalore"
2,35.01 Lakh,Resale,1015 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Chandapura, Bangalore"
2,22.49 Lakh,Resale,865 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur Attibele Road, Bangalore"
3,1.77 Crore,Resale,1463 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Harlur, Bangalore"
4,2.91 Crore,Resale,2400 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Harlur, Bangalore"
3,1.21 Crore,New Property,1321 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
3,1.46 Crore,New Property,1475 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
4,2.51 Crore,Resale,3191 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Anekal, Bangalore"
3,1.60 Crore,Resale,1612 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Banashankari, Bangalore"
3,1.38 Crore,Resale,1482 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Hennur Road, Bangalore"
2,78.67 Lakh,Resale,1180 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Banashankari, Bangalore"
3,3.88 Crore,Resale,3110 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes, Thanisandra Ma
2,1.27 Crore,Resale,1204 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
3,2.08 Crore,New Property,1665 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Bellandur, Bangalore"
3,3.63 Crore,New Property,2757 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Whitefield, Bangalore"
4,9.37 Crore,New Property,5246 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Hebbal, Bangalore"
2,57.53 Lakh,Resale,999 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,Yes," Bagaluru, Bangalore"
3,3.23 Crore,New Property,2037 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Jayanagar, Bangalore"
4,8.62 Crore,New Property,5219 Sq.Ft.,Ready To Move,23-Nov-2024,Broker,Yes," Jayanagar, Bangalore"
4+,2.80 Crore,Resale,5600 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Old Madras Road, Bangalore"
3,1.18 Crore,New Property,1186 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Vijaya Nagar, Bangalore"
2,29.10 Lakh,Resale,1090 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura, Bangalore"
3,1.09 Crore,Resale,1433 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bellandur, Bangalore"
3,44.52 Lakh,Resale,1370 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Chandapura Anekal Road, Bangalore"
2,61.75 Lakh,Resale,1625 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase II, Bangalore"
3,65.36 Lakh,Resale,1720 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Electronic City Phase II, Bangalore"
3,1.08 Crore,Resale,1745 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bannerghatta Road, Bangalore"
2,56.86 Lakh,Resale,1115 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yelahanka, Bangalore"
4,4.16 Crore,Resale,3131 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," JP Nagar, Bangalore"
3,49.50 Lakh,Resale,1347 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bilekahalli, Bangalore"
2,40.42 Lakh,Resale,1100 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bilekahalli, Bangalore"
4,86.70 Lakh,Resale,1700 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Sarjapur, Bangalore"
3,2.39 Crore,Resale,2740 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Bellandur, Bangalore"
3,44.67 Lakh,Resale,1596 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Attibele, Bangalore"
3,63 Lakhs,Resale,1835 Sq.Ft.,Ready To Move,09-Dec-2024,Broker,No," Narayanapura, Bangalore"
2,95.73 Lakh,New Property,907 Sq.Ft.,Ready To Move,28-Nov-2024,Broker,Yes," Kanakapura Road, Bangalore"
2,87.97 Lakh,New Property,945 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
4+,4.56 Crore,New Property,4900 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,Yes," Devanahalli, Bangalore"
2,61 Lakhs,Resale,1535 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,No," Narayanapura, Bangalore"
3,1.84 Crore,New Property,1690 Sq.Ft.,Ready To Move,20-Dec-2024,Broker,Yes," Whitefield, Bangalore"
3,3.25 Crore,Resale,1750 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Cambridge Layout, Bangalore"
3,95.21 Lakh,Resale,1747 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Sampigehalli, Bangalore"
4,1.53 Crore,Resale,2819 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Sampigehalli, Bangalore"
3,98.88 Lakh,Resale,1545 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Anekal, Bangalore"
3,54.54 Lakh,Resale,1515 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Whitefield, Bangalore"
3,44.67 Lakh,Resale,1596 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Attibele, Bangalore"
2,49.14 Lakh,Resale,1092 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hegde Nagar, Bangalore"
2,50.24 Lakh,Resale,957 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kannamangala, Bangalore"
3,1.09 Crore,Resale,2268 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kengeri, Bangalore"
2,65.10 Lakh,Resale,1332 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kengeri, Bangalore"
2,1.32 Crore,Resale,2540 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Malur-Hosur Road, Bangalore"
2,33.14 Lakh,Resale,947 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Kyalasanahalli, Bangalore"
2,77 Lakhs,Resale,1472 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Malur-Hosur Road, Bangalore"
4,1.04 Crore,Resale,2062 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kannamangala, Bangalore"
3,2.43 Crore,Resale,3784 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No, Thanisandra Ma
2,87.97 Lakh,New Property,945 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Kanakapura Road, Bangalore"
2,1.29 Crore,New Property,1345 Sq.Ft.,Ready To Move,10-Dec-2024,Broker,Yes," Chikkavaderapura, Bangalore"
3,1.84 Crore,New Property,1690 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Whitefield, Bangalore"
4,5.29 Crore,New Property,5263 Sq.Ft.,Ready To Move,07-Dec-2024,Broker,Yes," Jakkur, Bangalore"
3,73.90 Lakh,New Property,1548 Sq.Ft.,Ready To Move,17-Dec-2024,Broker,Yes," Kengeri, Bangalore"
4,4.25 Crore,New Property,3233 Sq.Ft.,Ready To Move,06-Dec-2024,Broker,Yes," Koramangala, Bangalore"
2,37.38 Lakh,Resale,1006 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," K R Puram, Bangalore"
2,38.88 Lakh,Resale,960 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hoskote, Bangalore"
3,77.70 Lakh,Resale,1480 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," JP Nagar, Bangalore"
3,1.41 Crore,Resale,1097 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Sahakara Nagar, Bangalore"
3,1.50 Crore,Resale,1671 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Sahakara Nagar, Bangalore"
2,66.99 Lakh,Resale,1158 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Kasavanahalli, Bangalore"
3,87.50 Lakh,Resale,1495 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,Yes," Whitefield, Bangalore"
3,92.09 Lakh,Resale,1561 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Yeshwanthpur, Bangalore"
1,28.07 Lakh,Resale,720 Sq.Ft.,Ready To Move,26-Dec-2024,Broker,No," Hoodi, Bangalore"
