,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
217,3,9597000,New Property,Ready To Move,Broker,No, Sarjapur Road,1745
218,1,4327000,New Property,Ready To Move,Broker,No, Kanakapura Road,591
219,2,9365000,New Property,Ready To Move,Broker,No, Thanisandra,1279
220,2,9093000,New Property,Ready To Move,Broker,No, Whitefield,1425
221,2,10000000,New Property,Ready To Move,Broker,No, Nallurhalli,1121
222,2,4100000,New Property,Ready To Move,Broker,No, Kengeri,890
223,3,14000000,New Property,Ready To Move,Broker,No, Nallurhalli,1541
224,3,15000000,New Property,Ready To Move,Broker,No, Bilekahalli,1540
225,3,14900000,New Property,Ready To Move,Broker,No, Kanakapura Road,1710
226,2,9000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1110
227,1,2773000,New Property,Ready To Move,Broker,No, Yeshwanthpur,627
228,2,6903000,New Property,Ready To Move,Broker,No, Yelahanka,1062
229,2,7324000,New Property,Ready To Move,Broker,No, Varthur,1285
230,3,12000000,New Property,Ready To Move,Broker,No, Marathahalli,1500
231,4,96400000,New Property,Ready To Move,Broker,Yes, Hebbal,5410
232,3,12100000,New Property,Ready To Move,Broker,Yes, Kanakapura Road,1321
233,3,9872000,New Property,Ready To Move,Broker,Yes, Devanahalli,1498
234,4,10400000,Resale,Ready To Move,Broker,No, Sarjapur,2314
235,2,2563000,Resale,Ready To Move,Broker,No, Hoskote,741
236,3,20000000,New Property,Ready To Move,Broker,Yes, Devanahalli,2589
237,3,10800000,New Property,Ready To Move,Broker,No, Kanakapura Road,1707
238,2,4524000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1085
239,3,12000000,New Property,Ready To Move,Broker,No, Banashankari 6th Stage,1719
240,3,9153000,New Property,Ready To Move,Broker,No, Gummanahalli,1561
241,3,4753000,New Property,Ready To Move,Broker,No, Kyalasanahalli,1358
242,3,5547000,New Property,Ready To Move,Broker,No, Yelahanka,1290
243,2,4040000,New Property,Ready To Move,Broker,No, Munnekollal,1010
244,4,9200000,New Property,Ready To Move,Broker,No, Devanahalli,2000
245,1,5095000,New Property,Ready To Move,Broker,No, Kanakapura Road,669
246,3,9720000,New Property,Ready To Move,Broker,No, Varthur,1375
247,3,14200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1424
248,2,5400000,New Property,Ready To Move,Broker,No, Horamavu,1000
249,3,15500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1498
250,2,5511000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1270
251,2,4815000,New Property,Ready To Move,Broker,No, Yelahanka,1070
252,3,13300000,New Property,Ready To Move,Broker,Yes, Devanahalli,1400
253,2,15000000,Resale,Ready To Move,Broker,Yes, B,1589
254,3,7390000,New Property,Ready To Move,Broker,Yes, Kengeri,1548
255,4,97000000,New Property,Ready To Move,Broker,Yes, Hebbal,5410
256,3,18100000,New Property,Ready To Move,Broker,Yes, Whitefield,1666
257,3,23000000,New Property,Ready To Move,Broker,Yes, Sarjapur Road,2000
258,2,10500000,New Property,Ready To Move,Broker,No, International Airport Road,1064
259,3,10200000,New Property,Ready To Move,Broker,No, Whitefield,1380
260,3,11700000,New Property,Ready To Move,Broker,No, Kanakapura Road,1281
261,2,7000000,New Property,Ready To Move,Broker,No, Thanisandra Ma,923
262,1,5044000,New Property,Ready To Move,Broker,No, Kanakapura Road,554
263,2,8800000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1291
264,2,4144000,New Property,Ready To Move,Broker,No, Jigani,1225
265,3,9000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1554
266,3,11000000,New Property,Ready To Move,Broker,No, Thanisandra,1550
267,2,4732000,New Property,Ready To Move,Broker,No, Devanahalli,1111
268,3,9000000,New Property,Ready To Move,Broker,No, Whitefield,1600
269,2,9000000,New Property,Ready To Move,Broker,No, Whitefield,1047
270,3,10600000,New Property,Ready To Move,Broker,No, Sarjapur Road,1669
271,3,7208000,New Property,Ready To Move,Broker,No, Kengeri,1360
272,3,6742000,New Property,Ready To Move,Broker,No, Kogilu,1330
273,3,10800000,Resale,Ready To Move,Broker,Yes, Thanisandra Ma,1574
274,3,15500000,New Property,Ready To Move,Broker,Yes, Rayasandra,1801
